league,hfa.before,hfa.adjustment,hfa.now,home.pts,result.likelihood,mean.pts,min.pts,q025.pts,median.pts,q975.pts,max.pts,sd.pts,z.pts
Austrian T-Mobile Bundesliga,0.17289372228142652,0.65,0.11238091948292724,63,0.0015,90.1257,57,72,90,108,120,9.080040981428578,-2.987398411029227
Austrian T-Mobile Bundesliga,0.17289372228142652,0.7000000000000001,0.12102560559699857,63,0.0022,90.8739,56,73,91,109,123,9.183203793512988,-3.035313233458907
Austrian T-Mobile Bundesliga,0.17289372228142652,0.75,0.1296702917110699,63,0.001,91.8006,61,74,92,110,123,9.092585284214556,-3.1674819756708925
Austrian T-Mobile Bundesliga,0.17289372228142652,0.8,0.1383149778251412,63,0.0012,92.6634,57,75,93,110,128,9.077970114190695,-3.2676247692895717
Austrian T-Mobile Bundesliga,0.17289372228142652,0.8500000000000001,0.14695966393921256,63,5e-4,93.3564,59,75,93,111,127,9.103508467983247,-3.3345824971506866
Austrian T-Mobile Bundesliga,0.17289372228142652,0.9,0.15560435005328388,63,4e-4,94.0301,49,76,94,112,128,9.049838890742466,-3.4288013714522863
Austrian T-Mobile Bundesliga,0.17289372228142652,0.9500000000000001,0.1642490361673552,63,2e-4,94.9147,61,77,95,113,132,9.043738321639069,-3.5289278465341356
Austrian T-Mobile Bundesliga,0.17289372228142652,1,0.17289372228142652,63,0,95.6157,64,78,96,113,130,8.959176312252115,-3.640479756537041
Austrian T-Mobile Bundesliga,0.17289372228142652,1.05,0.18153840839549784,63,0,96.5893,65,79,97,114,128,8.998595611666202,-3.7327269109029912
Austrian T-Mobile Bundesliga,0.17289372228142652,1.1,0.1901830945095692,63,1e-4,97.2852,61,80,97,115,128,9.021784758018892,-3.8002680090018846
Austrian T-Mobile Bundesliga,0.17289372228142652,1.15,0.19882778062364048,63,1e-4,98.2437,60,81,98,116,132,9.013347566439194,-3.9101676419567335
Barclays Premier League,0.16146715843900988,0,0,60,0.9108,50.6606,20,37,51,65,77,7.295802252874684,1.280105967280034
Barclays Premier League,0.16146715843900988,0.05,0.008073357921950495,60,0.8978,51.1963,19,37,51,65,80,7.346915272847689,1.1982852221715707
Barclays Premier League,0.16146715843900988,0.1,0.01614671584390099,60,0.8928,51.5332,26,37,52,66,83,7.3059452121915305,1.1588918003205573
Barclays Premier League,0.16146715843900988,0.15000000000000002,0.024220073765851485,60,0.877,52.0572,23,38,52,66,79,7.233156988203809,1.0981097206867638
