league,alias,restart_date,color,last_refresh,logo_url,n_games
German Bundesliga,Germany,5/16/20,red,6/27/20,https://projects.fivethirtyeight.com/soccer-predictions/images/bundesliga-logo.png,82
German 2. Bundesliga,Germany II,5/16/20,red,6/28/20,https://projects.fivethirtyeight.com/soccer-predictions/images/bundesliga-2-logo.png,81
Danish SAS-Ligaen,Denmark,5/31/20,maroon,6/29/20,https://projects.fivethirtyeight.com/soccer-predictions/images/superligaen-logo.png,43
Austrian T-Mobile Bundesliga,Austria,6/2/20,pink,7/2/20,https://projects.fivethirtyeight.com/soccer-predictions/images/bundesliga-austria-logo.png,53
Portuguese Liga,Portugal,6/3/20,seagreen,7/2/20,https://projects.fivethirtyeight.com/soccer-predictions/images/primeira-liga-logo.png,45
Barclays Premier League,England,6/17/20,skyblue,7/2/20,https://projects.fivethirtyeight.com/soccer-predictions/images/premier-league-logo.png,32
English League Championship,England II,6/20/20,skyblue,7/2/20,https://projects.fivethirtyeight.com/soccer-predictions/images/championship-logo.png,36
Greek Super League,Greece,6/6/20,dodgerblue,7/2/20,https://projects.fivethirtyeight.com/soccer-predictions/images/super-league-greece-logo.png,28
Spanish Primera Division,Spain,6/11/20,yellow,7/2/20,https://projects.fivethirtyeight.com/soccer-predictions/images/la-liga-logo.png,60
Spanish Segunda Division,Spain II,6/10/20,yellow,7/2/20,https://projects.fivethirtyeight.com/soccer-predictions/images/la-liga-2-logo.png,66
Turkish Turkcell Super Lig,Turkey,6/13/20,grey,6/29/20,https://projects.fivethirtyeight.com/soccer-predictions/images/super-lig-logo.png,27
Swedish Allsvenskan,Sweden,6/14/20,#004B87,7/2/20,https://projects.fivethirtyeight.com/soccer-predictions/images/allsvenskan-logo.png,40
Swiss Raiffeisen Super League,Switzerland,6/19/20,red3,7/2/20,https://projects.fivethirtyeight.com/soccer-predictions/images/super-league-logo.png,20
Italy Serie A,Italy,6/19/20,green,7/2/20,https://projects.fivethirtyeight.com/soccer-predictions/images/serie-a-logo.png,34
Russian Premier Liga,Russia,6/19/20,blue,7/2/20,https://projects.fivethirtyeight.com/soccer-predictions/images/premier-league-russia-logo.png,22
Norwegian Tippeligaen,Norway,6/16/20,navy,7/2/20,https://projects.fivethirtyeight.com/soccer-predictions/images/eliteserien-logo.png,40
Italy Serie B,Italy II,6/17/20,green,6/29/20,https://projects.fivethirtyeight.com/soccer-predictions/images/serie-b-logo.png,31
